Title,Original Paragraph,FALC Translation,FALC OK
Best of du blog en 2011,"Fin d'année oblige, en plus de faire une petite rétrospective pour montrer comment on a bien suivi l'actualité de l'année, c'est aussi l'occasion de ressortir une dernière fois tous ses beaux articles poussiéreux histoire de les faire découvrir aux nouveaux lecteurs qui les auraient manqués. Et faire un max de pages vues pour pas cher, bien entendu.",Ceci est un test,oui
Des concepts étonnants de souris du futur,"- il permet de se détendre les muscles, les longues séances assis devant un PC étant loin d'être idéale en terme de posture. D'ailleurs cela peut-être un exercice intéressant pour se reposer également l'esprit lors des temps de pause (à condition de savoir s'arrêter !)",Ceci est un test,oui
Windows 8 : 10 points qui peuvent faire toute la différence,"Sur le marché des smartphones, Windows Phone propose à l'heure actuelle 30 000 applications, contre 200 000 pour Android et 425 000 pour iOS. Avec des dates de sorties différentes bien entendu, mais Windows 8 devra être en mesure de proposer des applications pour toutes les activités, surtout pour le marché des tablettes : applications professionnelles, loisirs, jeux, multimédia.",Ceci est un test,non
Votre avis nous intéresse ! ,"4° Quinze ans, si le crime est puni de la réclusion ou de la détention à perpétuité.   Toutefois, la juridiction peut prononcer une peine inférieure à ces seuils en considération des circonstances de l'infraction, de la personnalité de son auteur ou des garanties d'insertion ou de réinsertion présentées par celui-ci.   Lorsqu'un crime est commis une nouvelle fois en état de récidive légale, la juridiction ne peut prononcer une peine inférieure à ces seuils que si l'accusé présente des garanties exceptionnelles d'insertion ou de réinsertion.",Ceci est un test,oui
Renato Casarotto,"Casarotto est l'un des meilleurs alpinistes italiens des années 1970 et 1980, il est alors célèbre pour ses tentatives d'ascensions hivernales en solitaire dans les Dolomites et sur le mont Blanc, ainsi que pour avoir ouvert des nouvelles voies en Patagonie, au Pérou et dans le Karakoram au Pakistan.
",Ceci est un test,non
"Désolé, mais tu ne quitteras jamais Facebook","Je trouve cet article excellent et très réaliste ! Facebook est très utile pour garder le contact et partager des informations avec des groupes de personnes. Pas besoin d'étaler sa vie privée non plus : dès que les sujets de conversation n'ont pas lieu d'être vus en public, mes amis et moi avons recours aux messages privés, aux e-mails ou au téléphone.",Ceci est un test,oui
Votre avis nous intéresse ! ,"2° La composition, la compétence et les conditions de fonctionnement de la commission prévue à l'article L. 633, ainsi que les conditions selon lesquelles seront délivrées les autorisations prévues aux articles L. 632 et 635 ;    3° Les conditions d'utilisation des radio-éléments artificiels ou des produits les contenant ;    4° Les conditions dans lesquelles se fera l'étalonnage des radio-éléments artificiels et celui des appareils destinés à la détention et à la mesure des rayonnements émis par eux.",Ceci est un test,oui
Les 10 logiciels gratuits que j'utilise au quotidien,"Avant de commencer, il faut savoir que si j'utilise Windows pour mon job et pour les jeux, je suis utilisateur de Linux le reste du temps (Ubuntu pour le moment mais aussi Jolicloud sur mon netbook). De fait, en terme de logiciels gratuits, même libres la plupart du temps, je pourrais vous sortir la logithèque Ubuntu. J'ai donc cherché pour cet exercice à vous sélectionner des logiciels utilisables sous Windows, ou sur les deux plateformes. Histoire de contenter le plus grand nombre.",Ceci est un test,non
Écran LCD en panne ? Il est sans doute possible de le réparer,"Bon petit tuto et rappel ; j'ai réalisé la même opération sur mon samsung 225BW en changeant tous les condensateurs (5 ou 6 je crois) par des Panasonic qualité pro (durée de vie du triple des bas de gamme d'origine). Le prix des pièces est en proportion, mais quand on a un papa électronicien et le matos sur place, c'est déjà plus facile ^^",Ceci est un test,oui
L'innovation selon Google,"Cool article ! Deux remarques :
- une pour pinailler : YouTube, c'est pas Google ; ils l'ont racheté, mais pas créé
- une très subjective : Google Reader n'était pas un échec, c'était le lecteur RSS en ligne le plus populaire ; mais il a été fermer pour d'obscures raisons (pas le temps de le maintenir / faire évoluer ? monétisation limitée ?)",Ceci est un test,non
